# 2023-03-03T18:03:03+08:00
# Header Rows: 22
# File Format: 2
# Device: APE PulseLink 150
# Serial: S08487
# Firmware: 787
# Software: 1.9.0.2
# Sensitivity: 100
# Gain: 340
# Scan Range [ps]: 50.0
# Filter ACF: 1
# Average: 0
# Trigger: 0
# Trigger Frequency [Hz]: N/A
# ACF [ps]: 1.910
# Fit Type: Sech2
# Fit Pulse Duration [ps]: 1.188
# FWHM Valid: 1
# ==========
Delay [ps]	Intensity [arb.u.]	Fit [arb.u.]
26.591045	0.064830	0.064570
26.585777	0.064833	0.064570
26.580489	0.064839	0.064570
26.575291	0.064849	0.064570
26.570009	0.064862	0.064570
26.564773	0.064879	0.064570
26.559450	0.064900	0.064570
26.554214	0.064925	0.064570
26.548891	0.064954	0.064570
26.543633	0.064987	0.064570
26.538200	0.065024	0.064570
26.532809	0.065066	0.064570
26.527439	0.065111	0.064570
26.522001	0.065161	0.064570
26.516493	0.065215	0.064570
26.510939	0.065274	0.064570
26.505406	0.065336	0.064570
26.499919	0.065403	0.064570
26.494430	0.065473	0.064570
26.488857	0.065547	0.064570
26.483243	0.065624	0.064570
26.477588	0.065705	0.064570
26.471934	0.065789	0.064570
26.466303	0.065876	0.064570
26.460672	0.065965	0.064570
26.455038	0.066057	0.064570
26.449298	0.066152	0.064570
26.443714	0.066248	0.064570
26.438045	0.066345	0.064570
26.432487	0.066445	0.064570
26.426778	0.066545	0.064570
26.421072	0.066645	0.064570
26.415302	0.066747	0.064570
26.409553	0.066848	0.064570
26.403694	0.066948	0.064570
26.397924	0.067048	0.064570
26.392110	0.067147	0.064570
26.386293	0.067245	0.064570
26.380433	0.067341	0.064570
26.374597	0.067435	0.064570
26.368722	0.067526	0.064570
26.362829	0.067614	0.064570
26.356873	0.067700	0.064570
26.350876	0.067782	0.064570
26.344925	0.067860	0.064570
26.338912	0.067934	0.064570
26.332944	0.068004	0.064570
26.327045	0.068070	0.064570
26.320998	0.068130	0.064570
26.315022	0.068186	0.064570
26.308963	0.068236	0.064570
26.302820	0.068280	0.064570
26.296677	0.068320	0.064570
26.290642	0.068353	0.064570
26.284497	0.068380	0.064570
26.278328	0.068401	0.064570
26.272182	0.068417	0.064570
26.265948	0.068426	0.064570
26.259716	0.068428	0.064570
26.253550	0.068425	0.064570
26.247385	0.068415	0.064570
26.241072	0.068399	0.064570
26.234783	0.068377	0.064570
26.228408	0.068348	0.064570
26.222034	0.068314	0.064570
26.215663	0.068274	0.064570
26.209336	0.068228	0.064570
26.202967	0.068176	0.064570
26.196556	0.068119	0.064570
26.190189	0.068057	0.064570
26.183735	0.067990	0.064570
26.177302	0.067918	0.064570
26.170848	0.067842	0.064570
26.164263	0.067761	0.064570
26.157810	0.067676	0.064570
26.151270	0.067588	0.064570
26.144687	0.067496	0.064570
26.138126	0.067402	0.064570
26.131633	0.067304	0.064570
26.125054	0.067204	0.064570
26.118500	0.067103	0.064570
26.111818	0.066999	0.064570
26.105120	0.066894	0.064570
26.098534	0.066788	0.064570
26.091864	0.066681	0.064570
26.085218	0.066573	0.064570
26.078554	0.066466	0.064570
26.071828	0.066359	0.064570
26.065125	0.066252	0.064570
26.058356	0.066146	0.064570
26.051609	0.066041	0.064570
26.044843	0.065938	0.064570
26.038036	0.065837	0.064570
26.031233	0.065737	0.064570
26.024433	0.065639	0.064570
26.017615	0.065544	0.064570
26.010690	0.065452	0.064570
26.003811	0.065362	0.064570
25.996932	0.065276	0.064570
25.990096	0.065192	0.064570
25.983174	0.065112	0.064570
25.976148	0.065035	0.064570
25.969169	0.064962	0.064570
25.962212	0.064892	0.064570
25.955253	0.064826	0.064570
25.948229	0.064763	0.064570
